,Roster_ID,Student_ID
0,0,2541
1,0,1437
2,0,1075
3,0,621
4,0,2510
5,0,396
6,0,210
7,0,1152
8,0,2930
9,0,2889
10,0,2370
11,0,1119
12,0,226
13,0,2741
14,0,216
15,0,590
16,0,2060
17,0,2719
18,0,1001
19,0,2084
20,0,817
21,0,2955
22,0,639
23,0,2991
24,0,640
25,0,87
26,1,2262
27,1,2504
28,1,1114
29,1,2496
30,1,2155
31,1,581
32,1,1722
33,1,482
34,1,805
35,1,993
36,1,1260
37,1,344
38,1,627
39,1,417
40,1,1441
41,1,630
42,1,2268
43,1,2858
44,1,633
45,1,1559
46,1,1287
47,1,492
48,1,813
49,2,984
50,2,2262
51,2,2504
52,2,59
53,2,986
54,2,830
55,2,1114
56,2,2894
57,2,598
58,2,205
59,2,54
60,2,993
61,2,344
62,2,2025
63,2,627
64,2,417
65,2,1441
66,2,1255
67,2,808
68,2,630
69,2,2268
70,2,2858
71,2,2859
72,2,863
73,2,2490
74,2,2212
75,2,813
76,2,1151
77,3,2693
78,3,2843
79,3,2852
80,3,1151
81,3,59
82,3,205
83,3,2212
84,3,2490
85,3,1776
86,3,598
87,3,54
88,3,986
89,3,830
90,3,1255
91,3,1128
92,3,2859
93,3,360
94,3,2894
95,3,2570
96,3,2025
97,3,2643
98,3,863
99,3,1590
100,3,381
101,3,2823
102,3,758
103,3,430
104,3,2900
105,3,84
106,4,1075
107,4,226
108,4,1152
109,4,2991
110,4,2060
111,4,2883
112,4,492
113,4,2541
114,4,216
115,4,2930
116,4,1559
117,4,1119
118,4,633
119,4,321
120,4,663
121,4,2741
122,4,2955
123,4,590
124,4,2370
125,4,1001
126,4,2510
127,4,210
128,4,1437
129,4,87
130,4,2084
131,4,2334
132,4,621
133,4,457
134,4,2889
135,5,2262
136,5,2570
137,5,59
138,5,986
139,5,830
140,5,2843
141,5,1128
142,5,2894
143,5,598
144,5,2852
145,5,205
146,5,54
147,5,2025
148,5,627
149,5,417
150,5,1255
151,5,630
152,5,1776
153,5,2858
154,5,2643
155,5,2859
156,5,863
157,5,2490
158,5,2212
159,5,360
160,5,1151
161,5,2693
162,6,2504
163,6,2334
164,6,2541
165,6,1114
166,6,2496
167,6,2155
168,6,1722
169,6,482
170,6,805
171,6,993
172,6,1260
173,6,344
174,6,1441
175,6,2370
176,6,1119
177,6,590
178,6,663
179,6,2268
180,6,633
181,6,1559
182,6,1001
183,6,492
184,6,813
185,7,2262
186,7,2504
187,7,830
188,7,1114
189,7,2496
190,7,2155
191,7,581
192,7,598
193,7,1722
194,7,482
195,7,205
196,7,805
197,7,54
198,7,993
199,7,1260
200,7,344
201,7,627
202,7,417
203,7,1441
204,7,1255
205,7,808
206,7,630
207,7,2268
208,7,2858
209,7,2490
210,7,813
211,7,1151
212,8,2334
213,8,2541
214,8,2496
215,8,2155
216,8,1075
217,8,1722
218,8,482
219,8,457
220,8,805
221,8,1260
222,8,210
223,8,1152
224,8,2930
225,8,321
226,8,2370
227,8,1119
228,8,226
229,8,216
230,8,590
231,8,663
232,8,633
233,8,2883
234,8,1559
235,8,2060
236,8,1001
237,8,492
238,8,2955
239,8,2991
240,8,87
241,9,2483
242,9,610
243,9,2431
244,9,1547
245,9,1076
246,9,1522
247,9,272
248,9,424
249,9,1121
250,9,2451
251,9,2528
252,9,2391
253,9,2875
254,9,399
255,9,2179
256,9,2471
257,9,88
258,10,1336
259,10,895
260,10,2638
261,10,67
262,10,1551
263,10,1554
264,10,546
265,10,2576
266,10,1998
267,10,853
268,10,2049
269,10,1596
270,10,844
271,10,2393
272,10,1567
273,10,331
274,11,1737
275,11,2948
276,11,279
277,11,1345
278,11,2162
279,11,1118
280,11,1392
281,11,2579
282,11,1238
283,11,313
284,11,1398
285,11,1595
286,11,402
287,11,2065
288,11,2311
289,12,1336
290,12,610
291,12,1547
292,12,990
293,12,1522
294,12,272
295,12,484
296,12,2299
297,12,546
298,12,2576
299,12,2044
300,12,2528
301,12,2391
302,12,2875
303,12,88
304,13,610
305,13,2431
306,13,1547
307,13,1076
308,13,990
309,13,1522
310,13,272
311,13,484
312,13,2299
313,13,2044
314,13,2451
315,13,2528
316,13,2391
317,13,2875
318,13,2179
319,13,88
320,14,985
321,14,279
322,14,260
323,14,2572
324,14,1345
325,14,1
326,14,1738
327,14,1118
328,14,2658
329,14,1948
330,14,1238
331,14,1801
332,14,1595
333,14,2065
334,14,2311
335,15,1336
336,15,895
337,15,990
338,15,67
339,15,1551
340,15,484
341,15,2299
342,15,546
343,15,2576
344,15,2044
345,15,1998
346,15,853
347,15,844
348,16,260
349,16,995
350,16,62
351,16,985
352,16,1948
353,16,2882
354,16,2040
355,16,320
356,16,1516
357,16,2229
358,16,1
359,16,1801
360,16,375
361,16,2833
362,16,2572
363,17,2483
364,17,2431
365,17,1547
366,17,1522
367,17,2162
368,17,424
369,17,1121
370,17,2451
371,17,2579
372,17,313
373,17,2391
374,17,2179
375,17,2471
376,17,88
377,18,1336
378,18,610
379,18,990
380,18,272
381,18,1551
382,18,484
383,18,2299
384,18,546
385,18,2576
386,18,2044
387,18,853
388,18,2528
389,18,2875
390,18,888
391,18,2474
392,19,985
393,19,62
394,19,260
395,19,2572
396,19,1
397,19,1738
398,19,2040
399,19,899
400,19,1948
401,19,2882
402,19,375
403,19,1801
404,19,2833
405,19,1595
406,19,402
407,19,2311
408,20,2483
409,20,2944
410,20,2948
411,20,279
412,20,1345
413,20,2162
414,20,424
415,20,1118
416,20,1392
417,20,1121
418,20,2579
419,20,313
420,20,1398
421,20,1215
422,20,402
423,20,2065
424,20,2471
425,21,1738
426,21,2948
427,21,279
428,21,260
429,21,2572
430,21,1345
431,21,1
432,21,1227
433,21,1118
434,21,1392
435,21,1238
436,21,1398
437,21,1215
438,21,1595
439,21,402
440,21,2065
441,21,2311
442,22,2483
443,22,2944
444,22,2431
445,22,120
446,22,2162
447,22,424
448,22,1118
449,22,1392
450,22,1121
451,22,2451
452,22,2579
453,22,313
454,22,1398
455,22,1215
456,22,2471
457,23,1532
458,23,1532
459,23,2067
460,23,353
461,23,353
462,23,851
463,23,851
464,23,2455
465,23,2455
466,23,709
467,23,1961
468,23,1174
469,23,1174
470,23,196
471,23,2821
472,23,2821
473,23,1681
474,23,854
475,23,854
476,23,948
477,23,1195
478,23,2928
479,23,355
480,23,355
481,23,832
482,23,832
483,23,783
484,23,783
485,23,99
486,23,99
487,23,855
488,23,867
489,23,867
490,23,2855
491,23,2512
492,23,2513
493,23,2335
