,High_School_ID,High School
266,266,Lawrenceville
267,267,Joliet West
268,268,Rye
269,269,Episcopal
270,270,New Milford
271,271,Lincoln Southwest High School
272,272,Chatham
273,273,Elk Grove
274,274,UMS-Wright Prep
275,275,Upper St. Clair High School
276,276,Urbana
277,277,Tenafly
278,278,Episcopal School of Dallas
279,279,Libertyville
280,280,Buckingham Browne & Nichols
281,281,St. Mildred’s Lightbourn
282,282,Brentwood School
283,283,"Choate Rosemary Hall (Wallingford, Conn.)"
284,284,Oak Ridge High School
285,285,Williamston High School
286,286,O'Neal
287,287,Temecula Valley
288,288,Mission Viejo
289,289,Haddonfield Memorial High School
290,290,Malvern Prep
291,291,Bolles School
292,292,Palos Verdes Peninsula
293,293,Richardson
294,294,Cate School
295,295,Flintridge  Prep
296,296,Stanford University Online High School
297,297,Galatasaray High School
298,298,John Burroughs
299,299,Montgomery Bell Academy
300,300,"Adesoye College, Nigeria"
301,301,Fordham Prep
302,302,Prospect
303,303,Scarsdale High School
304,304,Charles Wright
305,305,Phillips Academy Andover
306,306,University School of Milwaukee
307,307,Midland
308,308,Charlotte Latin
309,309,Lake Highlands
310,310,Oak Park-River Forest
311,311,Thomas Worthington
312,312,Buchholz H.S.
313,313,Thomas S. Wootton
314,314,Reno High School
315,315,Warren T. White
316,316,Palmyra Macedon
317,317,La Jolla High School
318,318,Grand Ledge
319,319,Burnside
320,320,Haverford School
321,321,Abington
322,322,College Jean-de-Brebeuf
323,323,Conestoga
324,324,The Blake School
325,325,Clements
326,326,Robert E. Fitch
327,327,Holy Names Academy
328,328,Salmon Arm (BCJHL)
329,329,Newport Harbor High School
330,330,Legacy
331,331,Laguna Beach
332,332,Western
333,333,Skyline
334,334,Jackson
335,335,Alpharetta
336,336,Battle Ground Academy
337,337,Charlotte Christian
338,338,Landon School
339,339,Acton-Boxboro
340,340,"Graphic and Design High School, Kent School"
341,341,Mesalonskee
342,342,Montgomery
343,343,The Lawrenceville School
344,344,State College
345,345,Ann Arbor Pioneer
346,346,Weston
347,347,Dutch Fork
348,348,McDonogh
349,349,Whitman-Hanson Regional
350,350,Wantagh
351,351,Glenbrook North High School
352,352,Palmer Trinity
353,353,Parkland
354,354,Campbell Hall
355,355,North Central
356,356,Hwa Chong Institution
357,357,Ferris High School
358,358,Chaminade
359,359,Shaker
360,360,Bergen Catholic
361,361,Nanaimo (BCJHL)
362,362,McLean
363,363,St. Joesph/ The Hun School of Princeton
364,364,Westford Academy
365,365,Corona Del Mar H.S.
366,366,Mountain View
367,367,Centreville
368,368,Centerville
369,369,Georgetown Prep
370,370,John Jay
371,371,St. Dominic
372,372,The Hun School
373,373,St. John's High School
374,374,Chicago Steel (USHL)
375,375,Damien
376,376,Shawnee
377,377,Chattahoochee
378,378,Mission San Jose High School
379,379,Mount Lebanon
380,380,Leigh
381,381,Walsh Jesuit
382,382,Canterbury
383,383,Memorial Senior
384,384,Mary Institute and St. Louis Country Day School
385,385,Lewisville Marcus
386,386,Spanish River
387,387,Newton South
388,388,Thornwood
389,389,Sanford School
390,390,Shoreham Wading River
391,391,Berlin
392,392,Saint Thomas Aquinas
393,393,Benilde-St. Margaret's
394,394,Olathe East High School
395,395,Cushing Academy
396,396,Downingtown East
397,397,Ontario
